System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
01:24:02:334, 2343929965285058,    0.112,   28.000, 4100,  31.587,   3.527,   0.980,  20.557,   2.296,   0.638, 49,  0,   1.066,   0.119,   0.033,  95.000, 131.000,   0.000,   0.000,   0.000
01:24:02:444, 2343930361486048,    0.222,   18.000, 4100,  28.328,   6.645,   1.846,  17.085,   4.176,   1.160, 49,  0,   1.143,   0.245,   0.068,  95.000, 131.000,   0.000,   0.000,   0.000
01:24:02:552, 2343930750047016,    0.330,   19.000, 4100,  31.142,  10.006,   2.779,  20.000,   6.334,   1.760, 48,  0,   0.670,   0.317,   0.088,  95.000, 131.000,   0.000,   0.000,   0.000
01:24:02:660, 2343931138968065,    0.438,   20.000, 4100,  31.166,  13.373,   3.715,  20.064,   8.502,   2.362, 51,  0,   0.786,   0.402,   0.112,  95.000, 131.000,   0.000,   0.000,   0.000
01:24:02:769, 2343931532252959,    0.547,   20.000, 4100,  29.858,  16.635,   4.621,  18.491,  10.522,   2.923, 52,  0,   1.006,   0.512,   0.142,  95.000, 131.000,   0.000,   0.000,   0.000
01:24:02:878, 2343931923695151,    0.656,   18.000, 4100,  30.383,  19.939,   5.539,  19.447,  12.637,   3.510, 49,  0,   0.736,   0.592,   0.164,  95.000, 131.000,   0.000,   0.000,   0.000
01:24:02:986, 2343932312571163,    0.764,   20.000, 4100,  30.531,  23.237,   6.455,  19.563,  14.750,   4.097, 51,  0,   0.761,   0.674,   0.187,  95.000, 131.000,   0.000,   0.000,   0.000
01:24:03:098, 2343932715956805,    0.876,   20.000, 4100,  29.371,  26.528,   7.369,  18.021,  16.769,   4.658, 46,  0,   1.202,   0.809,   0.225,  95.000, 131.000,   0.000,   0.000,   0.000
01:24:03:206, 2343933104506778,    0.984,   19.000, 4100,  29.757,  29.739,   8.261,  18.654,  18.782,   5.217, 50,  0,   0.955,   0.912,   0.253,  95.000, 131.000,   0.000,   0.000,   0.000
01:24:03:329, 2343933547465567,    1.107,   23.000, 4100,  32.918,  33.790,   9.386,  21.723,  21.455,   5.960, 48,  0,   0.847,   1.016,   0.282,  95.000, 131.000,   0.000,   0.000,   0.000
