System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:27:20:217, 2379307329333001,    0.113,   40.000, 4100,  41.658,   4.697,   1.305,  30.288,   3.415,   0.949, 60,  0,   1.444,   0.163,   0.045,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:20:327, 2379307725001931,    0.223,   34.000, 4100,  38.592,   8.938,   2.483,  27.557,   6.444,   1.790, 59,  0,   1.530,   0.331,   0.092,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:20:466, 2379308225558398,    0.362,   45.000, 4100,  43.162,  14.940,   4.150,  31.814,  10.867,   3.019, 61,  0,   1.288,   0.510,   0.142,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:20:575, 2379308617925383,    0.471,   21.000, 4100,  31.832,  18.409,   5.114,  20.767,  13.130,   3.647, 66,  0,   0.811,   0.599,   0.166,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:20:683, 2379309006708481,    0.579,   35.000, 4100,  39.137,  22.636,   6.288,  27.789,  16.132,   4.481, 64,  0,   1.335,   0.743,   0.206,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:20:791, 2379309395498013,    0.687,   23.000, 4100,  33.027,  26.203,   7.278,  21.920,  18.499,   5.139, 60,  0,   0.929,   0.843,   0.234,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:20:916, 2379309847982962,    0.812,   18.000, 4100,  31.227,  30.127,   8.369,  19.973,  21.009,   5.836, 61,  0,   0.785,   0.942,   0.262,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:21:025, 2379310240345897,    0.921,   17.000, 4100,  29.708,  33.365,   9.268,  18.601,  23.036,   6.399, 61,  0,   0.753,   1.024,   0.284,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:21:133, 2379310628982751,    1.029,   35.000, 4100,  39.120,  37.589,  10.441,  27.755,  26.033,   7.231, 59,  0,   1.622,   1.199,   0.333,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:21:243, 2379311025101514,    1.139,   33.000, 4100,  39.107,  41.892,  11.637,  27.884,  29.101,   8.084, 64,  0,   1.231,   1.334,   0.371,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:21:352, 2379311416623741,    1.248,   16.000, 4100,  30.611,  45.221,  12.561,  19.380,  31.209,   8.669, 55,  0,   0.766,   1.418,   0.394,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:21:461, 2379311808032278,    1.357,   17.000, 4100,  30.050,  48.488,  13.469,  18.879,  33.261,   9.239, 56,  0,   0.711,   1.495,   0.415,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:21:572, 2379312207362654,    1.468,   18.000, 4100,  29.765,  51.790,  14.386,  18.586,  35.323,   9.812, 59,  0,   0.896,   1.594,   0.443,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:21:679, 2379312592466523,    1.575,   25.000, 4100,  33.976,  55.424,  15.396,  23.041,  37.788,  10.497, 61,  0,   1.159,   1.718,   0.477,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:21:788, 2379312985005134,    1.684,   51.000, 4100,  49.448,  60.816,  16.893,  37.847,  41.914,  11.643, 62,  0,   1.434,   1.875,   0.521,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:21:913, 2379313434893909,    1.809,   20.000, 4100,  30.922,  64.680,  17.967,  19.841,  44.394,  12.332, 64,  0,   1.363,   2.045,   0.568,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:22:019, 2379313818414705,    1.915,   20.000, 4100,  31.401,  68.026,  18.896,  20.170,  46.543,  12.929, 59,  0,   0.724,   2.122,   0.589,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:22:130, 2379314217884575,    2.026,   16.000, 4100,  29.683,  71.319,  19.811,  18.562,  48.602,  13.501, 57,  0,   0.618,   2.191,   0.609,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:22:240, 2379314614103178,    2.136,   12.000, 4100,  28.168,  74.419,  20.672,  17.058,  50.480,  14.022, 53,  0,   0.623,   2.259,   0.628,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:22:349, 2379315004730566,    2.245,   16.000, 4100,  31.424,  77.829,  21.619,  20.200,  52.672,  14.631, 54,  0,   0.692,   2.334,   0.648,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:22:458, 2379315398788845,    2.354,   40.000, 4100,  41.989,  82.425,  22.896,  30.956,  56.060,  15.572, 60,  0,   1.277,   2.474,   0.687,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:22:568, 2379315795784399,    2.465,   49.000, 4100,  46.609,  87.565,  24.324,  35.448,  59.969,  16.658, 60,  0,   1.600,   2.651,   0.736,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:22:676, 2379316183361966,    2.572,   36.000, 4100,  40.416,  91.916,  25.532,  28.882,  63.079,  17.522, 57,  0,   1.350,   2.796,   0.777,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:22:786, 2379316579360074,    2.682,   16.000, 4100,  30.141,  95.232,  26.453,  18.943,  65.162,  18.101, 55,  0,   0.740,   2.877,   0.799,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:22:895, 2379316971940746,    2.791,   14.000, 4100,  28.307,  98.319,  27.311,  17.259,  67.045,  18.624, 53,  0,   0.599,   2.943,   0.817,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:23:004, 2379317364269388,    2.900,   16.000, 4100,  31.239, 101.723,  28.256,  20.111,  69.236,  19.232, 55,  0,   0.678,   3.017,   0.838,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:23:111, 2379317749469432,    3.007,   25.000, 4100,  35.432, 105.514,  29.310,  24.253,  71.831,  19.953, 56,  0,   0.950,   3.118,   0.866,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:23:222, 2379318149134380,    3.118,   25.000, 4100,  35.632, 109.470,  30.408,  24.487,  74.550,  20.708, 61,  0,   1.009,   3.230,   0.897,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:23:346, 2379318595362479,    3.242,   29.000, 4100,  34.216, 113.711,  31.586,  22.906,  77.389,  21.497, 57,  0,   1.521,   3.419,   0.950,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:23:458, 2379318996441007,    3.354,   30.000, 4100,  36.331, 117.759,  32.711,  25.139,  80.190,  22.275, 55,  0,   1.204,   3.553,   0.987,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:23:564, 2379319379838450,    3.460,   31.000, 4100,  38.784, 121.889,  33.858,  27.558,  83.125,  23.090, 60,  0,   0.896,   3.648,   1.013,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:23:674, 2379319775967567,    3.570,   46.000, 4100,  47.084, 127.070,  35.297,  35.845,  87.069,  24.186, 65,  0,   1.274,   3.789,   1.052,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:23:783, 2379320168362240,    3.679,   33.000, 4100,  37.253, 131.131,  36.425,  25.952,  89.898,  24.972, 59,  0,   1.302,   3.930,   1.092,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:23:892, 2379320560766219,    3.788,   43.000, 4100,  44.233, 135.952,  37.765,  32.955,  93.490,  25.969, 57,  0,   1.420,   4.085,   1.135,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:24:000, 2379320949634651,    3.896,   30.000, 4100,  37.535, 140.007,  38.891,  26.252,  96.326,  26.757, 64,  0,   1.263,   4.222,   1.173,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:24:124, 2379321396003222,    4.020,   28.000, 4100,  34.056, 144.229,  40.064,  22.811,  99.154,  27.543, 60,  0,   1.215,   4.372,   1.215,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:24:233, 2379321788405339,    4.129,   45.000, 4100,  44.625, 149.094,  41.415,  33.389, 102.793,  28.554, 61,  0,   1.268,   4.511,   1.253,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:24:344, 2379322188040429,    4.240,   20.000, 4100,  30.719, 152.504,  42.362,  19.549, 104.963,  29.156, 62,  0,   1.046,   4.627,   1.285,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:24:453, 2379322580582826,    4.349,   36.000, 4100,  40.693, 156.941,  43.595,  29.519, 108.182,  30.051, 60,  0,   1.217,   4.760,   1.322,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:24:560, 2379322965532007,    4.456,   43.000, 4100,  44.405, 161.689,  44.914,  33.126, 111.724,  31.035, 62,  0,   1.393,   4.909,   1.363,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:24:668, 2379323354340081,    4.564,   79.000, 4100,  59.445, 168.109,  46.697,  47.806, 116.887,  32.469, 60,  0,   2.242,   5.151,   1.431,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:24:778, 2379323750318749,    4.674,   22.000, 4100,  33.551, 171.800,  47.722,  22.353, 119.346,  33.152, 61,  0,   1.035,   5.265,   1.462,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:24:888, 2379324146486385,    4.784,   20.000, 4100,  31.699, 175.288,  48.691,  20.548, 121.607,  33.780, 64,  0,   0.906,   5.364,   1.490,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:24:997, 2379324538836443,    4.893,   26.000, 4100,  35.940, 179.205,  49.779,  24.765, 124.306,  34.530, 61,  0,   0.895,   5.462,   1.517,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:25:106, 2379324931883176,    5.002,   22.000, 4100,  32.309, 182.733,  50.759,  21.143, 126.615,  35.171, 56,  0,   0.833,   5.553,   1.542,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:25:215, 2379325322859359,    5.111,   14.000, 4100,  28.875, 185.869,  51.630,  17.761, 128.544,  35.707, 57,  0,   0.622,   5.620,   1.561,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:25:324, 2379325714197841,    5.220,   45.000, 4100,  48.093, 191.096,  53.082,  36.956, 132.561,  36.823, 68,  0,   1.423,   5.775,   1.604,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:25:448, 2379326160967480,    5.344,   26.000, 4100,  34.006, 195.317,  54.255,  22.624, 135.369,  37.602, 59,  0,   0.927,   5.890,   1.636,  95.000, 131.000,   0.000,   0.000,   0.000
13:27:25:557, 2379326553159489,    5.453,   23.000, 4100,  32.310, 198.837,  55.232,  21.212, 137.680,  38.244, 60,  0,   1.565,   6.061,   1.683,  95.000, 131.000,   0.000,   0.000,   0.000
