System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:37:10:012, 2381430591782465,    0.104,   16.000, 4100,  29.417,   3.065,   0.851,  18.060,   1.882,   0.523, 50,  0,   0.717,   0.075,   0.021,  95.000, 131.000,   0.000,   0.000,   0.000
13:37:10:120, 2381430982209196,    0.213,   17.000, 4100,  29.799,   6.297,   1.749,  18.817,   3.922,   1.090, 54,  0,   0.794,   0.161,   0.045,  95.000, 131.000,   0.000,   0.000,   0.000
13:37:10:228, 2381431372124683,    0.321,   18.000, 4100,  30.407,   9.590,   2.664,  19.361,   6.019,   1.672, 59,  0,   0.755,   0.243,   0.067,  95.000, 131.000,   0.000,   0.000,   0.000
13:37:10:337, 2381431764467185,    0.430,   18.000, 4100,  31.153,  12.985,   3.607,  20.015,   8.201,   2.278, 56,  0,   0.735,   0.323,   0.090,  95.000, 131.000,   0.000,   0.000,   0.000
13:37:10:447, 2381432160437044,    0.540,   19.000, 4100,  31.914,  16.496,   4.582,  20.813,  10.490,   2.914, 56,  0,   0.751,   0.405,   0.113,  95.000, 131.000,   0.000,   0.000,   0.000
13:37:10:557, 2381432556496608,    0.650,   21.000, 4100,  32.337,  20.053,   5.570,  21.221,  12.825,   3.562, 57,  0,   0.774,   0.490,   0.136,  95.000, 131.000,   0.000,   0.000,   0.000
13:37:10:667, 2381432952348536,    0.760,   24.000, 4100,  34.387,  23.834,   6.621,  23.204,  15.376,   4.271, 57,  0,   0.914,   0.591,   0.164,  95.000, 131.000,   0.000,   0.000,   0.000
13:37:10:777, 2381433348527975,    0.870,   18.000, 4100,  30.441,  27.184,   7.551,  19.342,  17.505,   4.862, 55,  0,   0.790,   0.678,   0.188,  95.000, 131.000,   0.000,   0.000,   0.000
13:37:10:903, 2381433801823165,    0.996,   18.000, 4100,  30.925,  31.078,   8.633,  19.568,  19.969,   5.547, 66,  0,   1.309,   0.843,   0.234,  95.000, 131.000,   0.000,   0.000,   0.000
13:37:11:043, 2381434305525254,    1.136,   19.000, 4200,  30.727,  35.377,   9.827,  19.419,  22.686,   6.302, 64,  0,   1.172,   1.007,   0.280,  95.000, 131.000,   0.000,   0.000,   0.000
13:37:11:152, 2381434696559515,    1.244,   18.000, 4100,  30.134,  38.651,  10.736,  18.878,  24.736,   6.871, 65,  0,   0.860,   1.100,   0.306,  95.000, 131.000,   0.000,   0.000,   0.000
13:37:11:262, 2381435092684167,    1.354,   19.000, 4100,  32.196,  42.193,  11.720,  21.039,  27.051,   7.514, 67,  0,   0.890,   1.198,   0.333,  95.000, 131.000,   0.000,   0.000,   0.000
13:37:11:402, 2381435599119711,    1.495,   15.000, 4100,  29.384,  46.327,  12.869,  18.201,  29.612,   8.225, 50,  0,   0.771,   1.307,   0.363,  95.000, 131.000,   0.000,   0.000,   0.000
13:37:11:511, 2381435989636117,    1.604,   18.000, 4100,  31.729,  49.769,  13.825,  20.782,  31.866,   8.852, 64,  0,   0.522,   1.363,   0.379,  95.000, 131.000,   0.000,   0.000,   0.000
