System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:25:44:298, 2378962021945039,    0.112,   28.000, 4100,  36.111,   4.049,   1.125,  25.001,   2.804,   0.779, 59,  0,   1.042,   0.117,   0.032,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:44:422, 2378962468236165,    0.236,   28.000, 4100,  36.279,   8.547,   2.374,  25.036,   5.907,   1.641, 60,  0,   1.038,   0.246,   0.068,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:44:531, 2378962860629813,    0.345,   23.000, 4100,  33.863,  12.238,   3.399,  22.675,   8.379,   2.327, 62,  0,   0.939,   0.348,   0.097,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:44:640, 2378963253037877,    0.454,   22.000, 4100,  32.237,  15.752,   4.376,  21.098,  10.679,   2.966, 61,  0,   0.891,   0.445,   0.124,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:44:764, 2378963699466705,    0.578,   20.000, 4100,  32.066,  19.728,   5.480,  20.922,  13.273,   3.687, 58,  0,   0.838,   0.549,   0.152,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:44:874, 2378964095556885,    0.688,   36.000, 4100,  38.939,  24.013,   6.670,  27.684,  16.319,   4.533, 56,  0,   1.360,   0.699,   0.194,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:44:982, 2378964484296523,    0.796,   30.000, 4100,  37.333,  28.044,   7.790,  26.097,  19.137,   5.316, 60,  0,   0.912,   0.797,   0.221,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:45:091, 2378964876699390,    0.905,   19.000, 4100,  31.339,  31.460,   8.739,  20.195,  21.338,   5.927, 64,  0,   0.823,   0.887,   0.246,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:45:200, 2378965268241068,    1.014,   22.000, 4100,  33.385,  35.091,   9.748,  22.140,  23.746,   6.596, 66,  0,   0.988,   0.994,   0.276,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:45:309, 2378965660920359,    1.123,   19.000, 4100,  32.191,  38.602,  10.723,  21.051,  26.042,   7.234, 62,  0,   0.895,   1.092,   0.303,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:45:417, 2378966051718101,    1.232,   16.000, 4100,  30.365,  41.899,  11.639,  19.362,  28.144,   7.818, 64,  0,   0.886,   1.188,   0.330,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:45:540, 2378966494597853,    1.355,   21.000, 4100,  29.785,  45.563,  12.656,  18.377,  30.405,   8.446, 56,  0,   1.525,   1.375,   0.382,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:45:664, 2378966940977761,    1.479,   19.000, 4100,  31.568,  49.477,  13.744,  20.397,  32.934,   9.148, 63,  0,   0.940,   1.492,   0.414,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:45:775, 2378967340426149,    1.589,   19.000, 4100,  31.518,  52.974,  14.715,  20.362,  35.193,   9.776, 61,  0,   0.888,   1.591,   0.442,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:45:884, 2378967732778999,    1.698,   18.000, 4100,  31.577,  56.416,  15.671,  20.378,  37.414,  10.393, 59,  0,   0.786,   1.676,   0.466,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:45:995, 2378968130069065,    1.809,   17.000, 4100,  30.563,  59.789,  16.608,  19.576,  39.575,  10.993, 62,  0,   0.864,   1.772,   0.492,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:46:103, 2378968518869483,    1.917,   21.000, 4100,  33.839,  63.443,  17.623,  22.680,  42.024,  11.673, 65,  0,   0.801,   1.858,   0.516,  95.000, 131.000,   0.000,   0.000,   0.000
