language,run,file 
cpp,1,cpp_1.csv 
cpp,2,cpp_2.csv 
cpp,3,cpp_3.csv 
cpp,4,cpp_4.csv 
cpp,5,cpp_5.csv 
cpp,6,cpp_6.csv 
cpp,7,cpp_7.csv 
cpp,8,cpp_8.csv 
cpp,9,cpp_9.csv 
cpp,10,cpp_10.csv 
python,1,python_1.csv 
python,2,python_2.csv 
python,3,python_3.csv 
python,4,python_4.csv 
python,5,python_5.csv 
python,6,python_6.csv 
python,7,python_7.csv 
python,8,python_8.csv 
python,9,python_9.csv 
python,10,python_10.csv 
java,1,java_1.csv 
java,2,java_2.csv 
java,3,java_3.csv 
java,4,java_4.csv 
java,5,java_5.csv 
java,6,java_6.csv 
java,7,java_7.csv 
java,8,java_8.csv 
java,9,java_9.csv 
java,10,java_10.csv 
r,1,r_1.csv 
r,2,r_2.csv 
r,3,r_3.csv 
r,4,r_4.csv 
r,5,r_5.csv 
r,6,r_6.csv 
r,7,r_7.csv 
r,8,r_8.csv 
r,9,r_9.csv 
r,10,r_10.csv 
julia,1,julia_1.csv 
julia,2,julia_2.csv 
julia,3,julia_3.csv 
julia,4,julia_4.csv 
julia,5,julia_5.csv 
julia,6,julia_6.csv 
julia,7,julia_7.csv 
julia,8,julia_8.csv 
julia,9,julia_9.csv 
julia,10,julia_10.csv 
